round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,F,0.9646463704700372,2.918856395854629,"{'J': 0.5350598582946494, 'F': 0.4649401417053506}","{'J': 0.1442178532177311, 'F': 0.8557821467822689}",3.6,3.6
2,F,F,2.9753131624777334,4.609520620598094,"{'J': 0.2846322990471537, 'F': 0.7153677009528463}","{'J': 0.3486328125, 'F': 0.6513671875}",3.4,4.0
3,F,F,5.124744505167503,6.663004052977471,"{'J': 0.41866145578895947, 'F': 0.5813385442110406}","{'J': 0.43785103785103785, 'F': 0.5621489621489622}",4.0,4.2
4,J,J,7.483806785890092,8.964097427811314,"{'J': 0.5350598582946494, 'F': 0.4649401417053506}","{'J': 0.5466536394723986, 'F': 0.45334636052760136}",3.0,3.2
5,F,F,9.45638450685491,11.029714725686677,"{'J': 0.3998044965786901, 'F': 0.6001955034213099}","{'J': 0.3811965811965812, 'F': 0.6188034188034188}",3.2,1.8
6,J,F,11.608480350232805,13.37839176564577,"{'J': 0.5196581196581197, 'F': 0.48034188034188036}","{'J': 0.48034188034188036, 'F': 0.5196581196581197}",4.2,3.4
7,J,F,13.711304514977957,15.713882877223426,"{'J': 0.507696066454923, 'F': 0.49230393354507695}","{'J': 0.46116267708842207, 'F': 0.5388373229115779}",3.4,3.2
8,F,F,15.876666035178188,17.97750635052432,"{'J': 0.4921798631476051, 'F': 0.5078201368523949}","{'J': 0.4725274725274725, 'F': 0.5274725274725275}",3.0,1.2
9,J,F,18.068212578056272,20.363897750475456,"{'J': 0.5389689714146103, 'F': 0.4610310285853897}","{'J': 0.5, 'F': 0.5}",3.0,3.6
10,J,F,20.271124008184902,22.644962506497457,"{'J': 0.5037869533349622, 'F': 0.49621304666503785}","{'J': 0.48815628815628814, 'F': 0.5118437118437118}",2.8,1.6
