round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,2.342099019873823,3.269027683056063,"{'J': 0.9196188614708039, 'F': 0.08038113852919619}","{'J': 0.7342331288343559, 'F': 0.2657668711656442}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
2,J,J,4.478084499209277,6.356556857504202,"{'J': 0.7906066536203522, 'F': 0.20939334637964774}","{'J': 0.6002979145978153, 'F': 0.3997020854021847}",6.0,6.8,4.0,6.0,7.0,8.0,5.0,6.0,7.0,8.0,8.0,5.0
3,J,J,6.5438986070365965,9.312722148532128,"{'J': 0.7247796278158668, 'F': 0.2752203721841332}","{'J': 0.5467093911757456, 'F': 0.45329060882425437}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
4,J,J,8.520852873983227,12.246574831086125,"{'J': 0.6991670749632533, 'F': 0.3008329250367467}","{'J': 0.50778739184178, 'F': 0.49221260815822004}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
5,J,J,10.58574231374525,15.16133288760571,"{'J': 0.7089737233515121, 'F': 0.29102627664848785}","{'J': 0.539, 'F': 0.461}",6.0,5.6,4.0,6.0,7.0,8.0,5.0,4.0,6.0,5.0,8.0,5.0
6,J,F,12.59905107203565,17.865561461648646,"{'J': 0.6225165562913907, 'F': 0.37748344370860926}","{'J': 0.4843325931408833, 'F': 0.5156674068591167}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
7,J,J,14.769355477739335,20.61068241059756,"{'J': 0.6655223148602256, 'F': 0.3344776851397744}","{'J': 0.5505590062111801, 'F': 0.44944099378881985}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
8,J,J,16.925552798102835,23.452654294740316,"{'J': 0.6993143976493633, 'F': 0.3006856023506366}","{'J': 0.5621594848935116, 'F': 0.43784051510648836}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
9,J,J,19.068736683435596,26.144326612534226,"{'J': 0.640748031496063, 'F': 0.359251968503937}","{'J': 0.5310503450038334, 'F': 0.46894965499616664}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
10,J,J,21.251328994351937,28.816699039221927,"{'J': 0.6407288845112041, 'F': 0.35927111548879587}","{'J': 0.5427728613569321, 'F': 0.45722713864306785}",5.4,6.0,4.0,6.0,5.0,8.0,4.0,4.0,6.0,7.0,8.0,5.0
