round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.6613954511111789,4.361551651027993,"{'J': 0.9343671774833628, 'F': 0.06563282251663716}","{'J': 0.1943359375, 'F': 0.8056640625}",3.8,4.6,2.0,3.0,4.0,8.0,2.0,4.0,3.0,6.0,8.0,2.0
2,J,J,2.4940573458896473,7.651685641436218,"{'J': 0.8032246244045438, 'F': 0.19677537559545621}","{'J': 0.5117302052785924, 'F': 0.48826979472140764}",5.2,5.6,4.0,5.0,6.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
3,J,J,4.4882546962786085,10.5223363762016,"{'J': 0.679208404593208, 'F': 0.3207915954067921}","{'J': 0.5039177277179236, 'F': 0.4960822722820764}",6.0,4.6,4.0,6.0,7.0,8.0,5.0,2.0,4.0,6.0,8.0,3.0
4,J,F,6.239088172057112,13.384497837727832,"{'J': 0.6334554334554334, 'F': 0.3665445665445665}","{'J': 0.4111898363058881, 'F': 0.5888101636941119}",4.6,5.2,2.0,4.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
5,J,F,8.07394091738662,16.487870511098293,"{'J': 0.7341153470185728, 'F': 0.26588465298142716}","{'J': 0.480411361410382, 'F': 0.519588638589618}",4.6,4.6,2.0,4.0,6.0,8.0,3.0,2.0,4.0,6.0,8.0,3.0
6,J,F,9.974378451970924,19.33766105890053,"{'J': 0.6547764475934522, 'F': 0.3452235524065478}","{'J': 0.4649058449498655, 'F': 0.5350941550501345}",4.6,4.6,2.0,4.0,6.0,8.0,3.0,4.0,3.0,6.0,8.0,2.0
7,J,F,11.765381510899788,21.87866508972487,"{'J': 0.5311507451746885, 'F': 0.46884925482531153}","{'J': 0.3811505507955936, 'F': 0.6188494492044063}",4.6,5.2,2.0,4.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
8,J,F,13.672970900191734,24.3685921952874,"{'J': 0.5312805474095796, 'F': 0.4687194525904203}","{'J': 0.41481300415546324, 'F': 0.5851869958445368}",4.6,5.2,2.0,4.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
9,J,F,15.55276210196431,26.984670499879435,"{'J': 0.5698924731182796, 'F': 0.43010752688172044}","{'J': 0.42263505255438766, 'F': 0.5773649474456123}",4.6,4.6,2.0,4.0,6.0,8.0,3.0,4.0,3.0,6.0,8.0,2.0
10,J,F,17.40536835697634,29.53351704850543,"{'J': 0.5429200293470287, 'F': 0.4570799706529714}","{'J': 0.403671970624235, 'F': 0.596328029375765}",4.6,4.6,2.0,4.0,6.0,8.0,3.0,2.0,4.0,6.0,8.0,3.0
