round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,2.477459933353946,3.2473644897479743,"{'J': 0.9496824621397166, 'F': 0.05031753786028334}","{'J': 0.795701550860911, 'F': 0.204298449139089}",6.0,5.6,4.0,6.0,7.0,8.0,5.0,4.0,6.0,6.0,8.0,4.0
2,J,J,4.7762319259939865,6.104405901601261,"{'J': 0.7341153470185728, 'F': 0.26588465298142716}","{'J': 0.6224614631759237, 'F': 0.37753853682407634}",5.2,5.6,4.0,6.0,5.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
3,J,J,7.116906246391988,8.817102584372222,"{'J': 0.6859099804305284, 'F': 0.31409001956947163}","{'J': 0.6115055079559364, 'F': 0.38849449204406367}",3.8,6.0,2.0,3.0,4.0,8.0,2.0,4.0,6.0,7.0,8.0,5.0
4,J,J,9.392200369676393,11.463313691876214,"{'J': 0.6479217603911981, 'F': 0.35207823960880197}","{'J': 0.5737383635472807, 'F': 0.42626163645271925}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
5,J,J,11.603197932355283,14.001530386262303,"{'J': 0.5965255688769269, 'F': 0.4034744311230732}","{'J': 0.531081742535487, 'F': 0.468918257464513}",3.8,5.6,2.0,4.0,3.0,8.0,2.0,4.0,6.0,6.0,8.0,4.0
6,F,F,13.77061193885113,16.207494954082417,"{'J': 0.47267826513109534, 'F': 0.5273217348689047}","{'J': 0.46496815286624205, 'F': 0.535031847133758}",5.6,5.6,4.0,6.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
7,J,J,16.252839419542966,19.017206478527655,"{'J': 0.7548647656345613, 'F': 0.24513523436543874}","{'J': 0.6893679568838804, 'F': 0.3106320431161195}",3.8,5.6,2.0,3.0,4.0,8.0,2.0,4.0,6.0,6.0,8.0,4.0
8,J,J,18.65911730763288,21.83226164091019,"{'J': 0.7402501839587933, 'F': 0.2597498160412068}","{'J': 0.6584947291002696, 'F': 0.3415052708997303}",5.6,3.4,4.0,6.0,6.0,8.0,4.0,2.0,3.0,2.0,8.0,2.0
9,J,J,21.012961195732206,24.55559443634675,"{'J': 0.6926877470355731, 'F': 0.3073122529644269}","{'J': 0.6187899655681259, 'F': 0.38121003443187407}",5.2,5.4,4.0,5.0,6.0,8.0,3.0,4.0,6.0,5.0,8.0,4.0
10,J,J,23.424368704802568,27.457730307668477,"{'J': 0.7772979642196175, 'F': 0.22270203578038247}","{'J': 0.6791522917693446, 'F': 0.3208477082306555}",5.6,3.8,4.0,6.0,6.0,8.0,4.0,2.0,3.0,4.0,8.0,2.0
