round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,2.3246930570366313,2.494790615903392,"{'J': 0.6001959823615874, 'F': 0.39980401763841256}","{'J': 0.5661764705882353, 'F': 0.4338235294117647}",5.2,5.2,4.0,6.0,5.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
2,F,F,4.489296502743308,4.362948033290936,"{'J': 0.35927557513460595, 'F': 0.640724424865394}","{'J': 0.4185647807984325, 'F': 0.5814352192015675}",5.2,5.2,4.0,6.0,5.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
3,J,J,7.078641956224762,6.790453096898956,"{'J': 0.6225165562913907, 'F': 0.37748344370860926}","{'J': 0.6548846342660776, 'F': 0.34511536573392243}",5.4,5.4,4.0,6.0,5.0,8.0,4.0,4.0,6.0,5.0,8.0,4.0
4,J,J,9.503316595226796,9.041230764688322,"{'J': 0.5273217348689047, 'F': 0.47267826513109534}","{'J': 0.5621011291114384, 'F': 0.4378988708885616}",5.4,5.4,4.0,6.0,5.0,8.0,4.0,4.0,6.0,5.0,8.0,4.0
5,J,J,11.813303446688565,11.331763146317936,"{'J': 0.5235063663075417, 'F': 0.4764936336924584}","{'J': 0.5273972602739726, 'F': 0.4726027397260274}",5.0,5.4,4.0,6.0,4.0,8.0,3.0,4.0,6.0,5.0,8.0,4.0
6,J,J,14.181652900633832,13.660954499431094,"{'J': 0.5467449828683308, 'F': 0.4532550171316691}","{'J': 0.5545766030347529, 'F': 0.4454233969652472}",5.2,5.4,4.0,6.0,5.0,8.0,3.0,4.0,6.0,5.0,8.0,4.0
7,J,J,16.5157312749591,15.995032873756363,"{'J': 0.5429620563035495, 'F': 0.45703794369645045}","{'J': 0.5429620563035495, 'F': 0.45703794369645045}",5.2,5.2,4.0,6.0,5.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
8,J,J,18.85865002049923,18.471228262988177,"{'J': 0.5964740450538688, 'F': 0.40352595494613125}","{'J': 0.5698187163155316, 'F': 0.4301812836844684}",5.0,5.2,4.0,6.0,4.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
9,J,J,21.208663890338308,20.95396975637408,"{'J': 0.6001470948761951, 'F': 0.39985290512380484}","{'J': 0.5736015701668302, 'F': 0.4263984298331698}",5.2,5.6,4.0,6.0,5.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
10,J,J,23.54531179296577,23.23281844590953,"{'J': 0.5235063663075417, 'F': 0.4764936336924584}","{'J': 0.5350662089259441, 'F': 0.4649337910740559}",5.2,5.6,4.0,6.0,5.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
