round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.4035621870420127,3.2582056057645334,"{'J': 0.708984375, 'F': 0.291015625}","{'J': 0.33805569125549584, 'F': 0.6619443087445042}",3.8,4.4,2.0,3.0,4.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
2,F,F,3.3658753013824843,5.048736911293396,"{'J': 0.31069858329262334, 'F': 0.6893014167073767}","{'J': 0.34505494505494505, 'F': 0.654945054945055}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
3,J,F,5.459548522585031,7.511881715933821,"{'J': 0.550561797752809, 'F': 0.449438202247191}","{'J': 0.4766674810652333, 'F': 0.5233325189347666}",4.6,3.8,4.0,3.0,6.0,8.0,2.0,2.0,3.0,4.0,8.0,2.0
4,F,F,7.351067826608098,9.644390533923385,"{'J': 0.4111898363058881, 'F': 0.5888101636941119}","{'J': 0.3629919335125886, 'F': 0.6370080664874114}",4.4,3.8,4.0,3.0,5.0,8.0,2.0,2.0,3.0,4.0,8.0,2.0
5,F,F,9.438312612714977,11.90713442787555,"{'J': 0.4805765941851942, 'F': 0.5194234058148057}","{'J': 0.44547677261613694, 'F': 0.5545232273838631}",4.6,4.4,4.0,3.0,6.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
6,J,F,11.421569076245031,14.317699621142562,"{'J': 0.5156402737047898, 'F': 0.4843597262952102}","{'J': 0.4301785277573979, 'F': 0.5698214722426022}",3.8,4.4,2.0,3.0,4.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
7,F,F,13.307877144704689,16.72356759180271,"{'J': 0.5, 'F': 0.5}","{'J': 0.3960880195599022, 'F': 0.6039119804400978}",4.4,3.8,4.0,3.0,5.0,8.0,2.0,2.0,3.0,4.0,8.0,2.0
8,J,F,15.274256915240377,19.175751131695996,"{'J': 0.5272682807532404, 'F': 0.4727317192467596}","{'J': 0.43010752688172044, 'F': 0.5698924731182796}",4.6,4.4,4.0,3.0,6.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
9,J,F,17.149647384329086,21.60980218724717,"{'J': 0.5078201368523949, 'F': 0.4921798631476051}","{'J': 0.3960880195599022, 'F': 0.6039119804400978}",3.8,4.4,2.0,3.0,4.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
10,J,F,19.02542290472971,24.26097027359555,"{'J': 0.5812759716450746, 'F': 0.41872402835492545}","{'J': 0.426197458455523, 'F': 0.5738025415444771}",4.4,5.2,4.0,3.0,5.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
