round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,2.6706736084505183,2.9914901769740716,"{'J': 0.8840482163617451, 'F': 0.11595178363825491}","{'J': 0.8198849026570344, 'F': 0.1801150973429656}",3.4,5.0,2.0,3.0,2.0,8.0,2.0,5.0,5.0,5.0,5.0,5.0
2,J,J,5.190946553494552,5.858365879139118,"{'J': 0.7879160014736584, 'F': 0.21208399852634163}","{'J': 0.718595450049456, 'F': 0.28140454995054404}",4.4,4.0,4.0,5.0,3.0,8.0,2.0,3.0,4.0,3.0,8.0,2.0
3,J,J,7.641161114044342,8.74559017138601,"{'J': 0.7800319685233001, 'F': 0.21996803147669985}","{'J': 0.6926300221838797, 'F': 0.3073699778161203}",3.4,1.0,2.0,3.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0
4,J,J,10.042272199366488,11.570909986788598,"{'J': 0.7433063129452223, 'F': 0.2566936870547777}","{'J': 0.6584645669291339, 'F': 0.34153543307086615}",3.6,3.4,2.0,4.0,2.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
5,J,J,12.471117873881983,14.1952540748817,"{'J': 0.668792934249264, 'F': 0.331207065750736}","{'J': 0.6296932515337423, 'F': 0.37030674846625766}",3.6,1.0,2.0,4.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0
6,J,J,14.934753082924903,16.74832472709325,"{'J': 0.6477077715126256, 'F': 0.35229222848737435}","{'J': 0.6298206828788996, 'F': 0.37017931712110047}",3.4,1.0,2.0,3.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0
7,J,J,17.334558673436174,19.41363640755123,"{'J': 0.6791154791154791, 'F': 0.3208845208845209}","{'J': 0.6260142611261372, 'F': 0.37398573887386277}",3.4,1.0,2.0,3.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0
8,J,J,19.754341564448794,22.09457998807358,"{'J': 0.6892655367231638, 'F': 0.3107344632768362}","{'J': 0.6370333988212181, 'F': 0.36296660117878193}",3.6,1.0,2.0,4.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0
9,J,J,22.15369997953965,24.642185831356745,"{'J': 0.6334975369458128, 'F': 0.3665024630541872}","{'J': 0.6038480513073508, 'F': 0.39615194869264925}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,J,J,24.65801493925736,27.344721515817774,"{'J': 0.7154791154791155, 'F': 0.28452088452088453}","{'J': 0.6758349705304518, 'F': 0.3241650294695481}",3.4,1.0,2.0,3.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0
