round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,F,1.3700016641882786,3.3500528782404695,"{'J': 0.734065934065934, 'F': 0.26593406593406593}","{'J': 0.33805569125549584, 'F': 0.6619443087445042}",5.8,5.8
2,J,F,3.0693324983745613,5.883735043968409,"{'J': 0.5155142926948448, 'F': 0.48448570730515517}","{'J': 0.34864402638651354, 'F': 0.6513559736134864}",3.6,5.6
3,F,F,4.813256250149234,8.1821287517763,"{'J': 0.44553004396678064, 'F': 0.5544699560332194}","{'J': 0.3346360527601368, 'F': 0.6653639472398633}",4.2,3.8
4,J,J,6.8496981285833,10.955260047563847,"{'J': 0.6513671875, 'F': 0.3486328125}","{'J': 0.504029304029304, 'F': 0.495970695970696}",4.4,6.0
5,J,J,8.997182317571395,13.544009189047364,"{'J': 0.60400390625, 'F': 0.39599609375}","{'J': 0.5157509157509158, 'F': 0.48424908424908425}",4.4,4.2
6,J,F,11.021650037351616,16.094075008644435,"{'J': 0.5699633699633699, 'F': 0.43003663003663006}","{'J': 0.46484375, 'F': 0.53515625}",4.8,5.4
7,J,J,13.182667709360985,18.602562070624412,"{'J': 0.5774303859306302, 'F': 0.4225696140693698}","{'J': 0.5079365079365079, 'F': 0.49206349206349204}",6.0,5.4
8,J,F,15.138578798760106,21.292378723042585,"{'J': 0.6077186126038104, 'F': 0.39228138739618956}","{'J': 0.4609375, 'F': 0.5390625}",5.2,5.0
9,J,F,17.22700087985439,23.91939386715592,"{'J': 0.6077186126038104, 'F': 0.39228138739618956}","{'J': 0.5, 'F': 0.5}",5.4,5.0
10,J,J,19.335533155265026,26.597681578467572,"{'J': 0.6297020029311187, 'F': 0.3702979970688813}","{'J': 0.5157509157509158, 'F': 0.48424908424908425}",4.6,4.2
