round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,2.8477557651122054,2.94718265053849,"{'J': 0.9161164098801663, 'F': 0.0838835901198337}","{'J': 0.8962310327949095, 'F': 0.10376896720509056}",6.0,7.0,4.0,6.0,7.0,8.0,5.0,6.0,8.0,7.0,8.0,6.0
2,J,J,5.471196477232532,5.785546108716498,"{'J': 0.8006872852233677, 'F': 0.19931271477663232}","{'J': 0.7577027360118314, 'F': 0.2422972639881686}",6.0,7.0,4.0,6.0,7.0,8.0,5.0,6.0,8.0,7.0,8.0,6.0
3,J,J,8.185040524480499,8.648865407121754,"{'J': 0.8355052864519301, 'F': 0.16449471354806983}","{'J': 0.8056102362204725, 'F': 0.19438976377952755}",6.0,7.4,4.0,6.0,7.0,8.0,5.0,6.0,8.0,7.0,8.0,8.0
4,J,J,10.979654261538885,11.465230750007622,"{'J': 0.8354554358472086, 'F': 0.16454456415279137}","{'J': 0.8311051146817122, 'F': 0.16889488531828775}",6.0,7.2,4.0,6.0,7.0,8.0,5.0,6.0,8.0,7.0,8.0,7.0
5,J,J,13.771145652957198,14.39319389917367,"{'J': 0.8887800097991181, 'F': 0.11121999020088193}","{'J': 0.861485658249571, 'F': 0.13851434175042904}",6.0,7.2,4.0,6.0,7.0,8.0,5.0,6.0,8.0,7.0,8.0,7.0
6,J,J,16.503973010350183,17.30054845544884,"{'J': 0.8615459882583171, 'F': 0.13845401174168298}","{'J': 0.8266405484818805, 'F': 0.1733594515181195}",6.4,7.0,6.0,7.0,6.0,8.0,5.0,6.0,8.0,7.0,8.0,6.0
7,J,J,19.287245859284358,20.189232164463238,"{'J': 0.8670095518001469, 'F': 0.13299044819985306}","{'J': 0.845927379784102, 'F': 0.15407262021589793}",6.0,7.4,4.0,6.0,7.0,8.0,5.0,6.0,8.0,8.0,8.0,7.0
8,J,J,22.048780634916017,23.05528127692385,"{'J': 0.8499082568807339, 'F': 0.15009174311926604}","{'J': 0.8290053895149436, 'F': 0.17099461048505635}",6.0,7.4,4.0,6.0,7.0,8.0,5.0,6.0,8.0,8.0,8.0,7.0
9,J,J,24.755130759696453,25.922933540209726,"{'J': 0.8354988967884286, 'F': 0.16450110321157146}","{'J': 0.8032384690873405, 'F': 0.19676153091265947}",6.4,7.0,6.0,7.0,6.0,8.0,5.0,6.0,8.0,7.0,8.0,6.0
10,J,J,27.453672144823365,28.865858646757534,"{'J': 0.8687982359426681, 'F': 0.13120176405733186}","{'J': 0.8199214916584887, 'F': 0.1800785083415113}",6.4,7.2,6.0,7.0,6.0,8.0,5.0,6.0,8.0,7.0,8.0,7.0
