round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.3025812629055167,3.8445084682379966,"{'J': 0.8933390316869162, 'F': 0.10666096831308383}","{'J': 0.3849535906204201, 'F': 0.6150464093795799}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
2,J,J,3.390974716380412,7.032155753116591,"{'J': 0.81994866153282, 'F': 0.18005133846718005}","{'J': 0.6000978952520802, 'F': 0.3999021047479197}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
3,J,J,5.547361812768317,10.202684671882992,"{'J': 0.828868501529052, 'F': 0.17113149847094802}","{'J': 0.6260401370533529, 'F': 0.37395986294664707}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
4,J,J,7.548480478407866,13.484579800567818,"{'J': 0.837573385518591, 'F': 0.162426614481409}","{'J': 0.5814180929095355, 'F': 0.41858190709046456}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
5,J,J,9.51826283328109,16.7572220918869,"{'J': 0.8266927401613298, 'F': 0.17330725983867026}","{'J': 0.5661207528721584, 'F': 0.4338792471278416}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
6,J,J,11.421282303513813,20.11745427605605,"{'J': 0.8459657701711492, 'F': 0.15403422982885084}","{'J': 0.5545232273838631, 'F': 0.44547677261613694}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
7,J,J,13.342062966627484,23.376602065004874,"{'J': 0.8104607112306, 'F': 0.1895392887694}","{'J': 0.5427872860635696, 'F': 0.4572127139364303}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
8,J,J,15.217482150069864,26.65514255284897,"{'J': 0.8080215211543165, 'F': 0.19197847884568353}","{'J': 0.5273972602739726, 'F': 0.4726027397260274}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
9,J,J,17.046452989129484,29.99688864053963,"{'J': 0.8221053918571952, 'F': 0.17789460814280475}","{'J': 0.5195503421309873, 'F': 0.4804496578690127}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
10,J,J,18.99883721106356,33.30730208749392,"{'J': 0.8376528117359413, 'F': 0.16234718826405867}","{'J': 0.5660469667318982, 'F': 0.43395303326810175}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
