round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,2.2996077987327626,2.338708482994737,"{'J': 0.5391006842619745, 'F': 0.4608993157380254}","{'J': 0.5312805474095796, 'F': 0.4687194525904203}",5.0,5.2,4.0,6.0,4.0,8.0,3.0,4.0,6.0,4.0,8.0,4.0
2,F,F,4.32313226916181,4.361582633072147,"{'J': 0.39232461500855537, 'F': 0.6076753849914447}","{'J': 0.3924546790788829, 'F': 0.6075453209211171}",3.6,5.6,2.0,4.0,2.0,8.0,2.0,4.0,6.0,6.0,8.0,4.0
3,J,F,6.501142168565246,6.753785204981909,"{'J': 0.5388957055214724, 'F': 0.46110429447852763}","{'J': 0.496057171020207, 'F': 0.503942828979793}",5.0,5.0,4.0,6.0,4.0,8.0,3.0,4.0,6.0,4.0,8.0,3.0
4,F,F,8.569473011656626,9.0359935788182,"{'J': 0.4844751108920651, 'F': 0.5155248891079349}","{'J': 0.441699604743083, 'F': 0.558300395256917}",4.8,5.0,4.0,5.0,4.0,8.0,3.0,4.0,6.0,4.0,8.0,3.0
5,J,F,10.563815195597813,11.41845251066897,"{'J': 0.5077414598181371, 'F': 0.4922585401818629}","{'J': 0.4301181102362205, 'F': 0.5698818897637795}",5.0,5.0,4.0,6.0,4.0,8.0,3.0,4.0,6.0,4.0,8.0,3.0
6,F,F,12.60652507334305,13.537653555261786,"{'J': 0.4263984298331698, 'F': 0.5736015701668302}","{'J': 0.4111001964636542, 'F': 0.5888998035363457}",3.6,5.6,2.0,4.0,2.0,8.0,2.0,4.0,6.0,6.0,8.0,4.0
7,F,F,14.636958081539492,15.512218734125014,"{'J': 0.37748344370860926, 'F': 0.6225165562913907}","{'J': 0.3886570095752517, 'F': 0.6113429904247484}",3.4,5.6,2.0,3.0,2.0,8.0,2.0,4.0,6.0,6.0,8.0,4.0
8,F,F,16.612281622527775,17.65831694759775,"{'J': 0.4263984298331698, 'F': 0.5736015701668302}","{'J': 0.39224349533627884, 'F': 0.6077565046637211}",4.8,5.6,4.0,5.0,4.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
9,F,F,18.615249559833053,19.793161052506353,"{'J': 0.4263261296660118, 'F': 0.5736738703339882}","{'J': 0.3999508961453474, 'F': 0.6000491038546526}",5.0,5.6,4.0,6.0,4.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
10,F,F,20.60130481502192,21.911449897974826,"{'J': 0.41869021339220014, 'F': 0.5813097866077999}","{'J': 0.39224349533627884, 'F': 0.6077565046637211}",5.2,5.6,4.0,5.0,6.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
