round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.1503950849600983,4.087079581318973,"{'J': 0.9466124744063809, 'F': 0.053387525593619166}","{'J': 0.35927557513460595, 'F': 0.640724424865394}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
2,J,F,3.055959460150583,6.691146986906013,"{'J': 0.5698187163155316, 'F': 0.4301812836844684}","{'J': 0.4301181102362205, 'F': 0.5698818897637795}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
3,J,F,4.998094121993578,9.176950291892195,"{'J': 0.5350598582946494, 'F': 0.4649401417053506}","{'J': 0.4263261296660118, 'F': 0.5736738703339882}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
4,J,F,6.841901948473945,11.63675592379768,"{'J': 0.5118437118437118, 'F': 0.48815628815628814}","{'J': 0.3886441507586882, 'F': 0.6113558492413118}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
5,J,F,8.73148708236358,14.145840055474807,"{'J': 0.5350598582946494, 'F': 0.4649401417053506}","{'J': 0.4111600587371512, 'F': 0.5888399412628488}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
6,J,F,10.528859566081385,16.613576973149037,"{'J': 0.5078201368523949, 'F': 0.4921798631476051}","{'J': 0.37374725006110976, 'F': 0.6262527499388902}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
7,F,F,12.415328858961248,19.019375847629096,"{'J': 0.5, 'F': 0.5}","{'J': 0.39613408367996084, 'F': 0.6038659163200392}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
8,J,F,14.394203555086603,21.523016560729626,"{'J': 0.5467449828683308, 'F': 0.4532550171316691}","{'J': 0.4417917794732956, 'F': 0.5582082205267044}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
9,J,F,16.20176339182474,24.160363990891025,"{'J': 0.5659085350941551, 'F': 0.43409146490584494}","{'J': 0.3999510164095028, 'F': 0.6000489835904972}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
10,J,F,18.073041114415933,26.689278005567765,"{'J': 0.5390070921985816, 'F': 0.46099290780141844}","{'J': 0.4074798337814715, 'F': 0.5925201662185284}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
