round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.1624202735427538,3.124401696283411,"{'J': 0.6261127596439169, 'F': 0.37388724035608306}","{'J': 0.23371647509578544, 'F': 0.7662835249042146}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
2,F,F,2.4425935795233924,5.6878271119652615,"{'J': 0.4687270051508462, 'F': 0.5312729948491538}","{'J': 0.21207658321060383, 'F': 0.7879234167893961}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
3,J,F,3.8297469856999,8.681598343105234,"{'J': 0.618860510805501, 'F': 0.381139489194499}","{'J': 0.2975369458128079, 'F': 0.7024630541871921}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
4,J,F,5.288987880239982,11.760700946389342,"{'J': 0.6584585077567102, 'F': 0.34154149224328983}","{'J': 0.33448616600790515, 'F': 0.6655138339920948}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
5,J,F,6.697567292433871,14.927672342711519,"{'J': 0.6792730844793713, 'F': 0.3207269155206287}","{'J': 0.32759468765371375, 'F': 0.6724053123462863}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
6,J,F,8.164828828872464,17.82603430765745,"{'J': 0.600196463654224, 'F': 0.39980353634577603}","{'J': 0.3139763779527559, 'F': 0.6860236220472441}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
7,J,F,9.710849419457471,20.64118861645593,"{'J': 0.5850306748466257, 'F': 0.41496932515337426}","{'J': 0.3312039312039312, 'F': 0.6687960687960688}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
8,J,F,11.290739623102276,23.33563241440893,"{'J': 0.5506748466257668, 'F': 0.4493251533742331}","{'J': 0.3277641277641278, 'F': 0.6722358722358722}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
9,J,F,12.857280191410295,26.011979558778897,"{'J': 0.5428641611397691, 'F': 0.4571358388602309}","{'J': 0.3209028459273798, 'F': 0.6790971540726202}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
10,J,F,14.452146429003582,28.746848977231874,"{'J': 0.5660841742554763, 'F': 0.43391582574452375}","{'J': 0.3380835380835381, 'F': 0.6619164619164619}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
