round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.6951913216567047,3.6476032115910804,"{'J': 0.9099247844432214, 'F': 0.09007521555677857}","{'J': 0.5194424064563463, 'F': 0.4805575935436537}",7.2,6.4,6.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
2,J,J,3.7622250453182544,6.535021924894636,"{'J': 0.6991432068543452, 'F': 0.30085679314565483}","{'J': 0.5350662089259441, 'F': 0.4649337910740559}",7.2,6.4,6.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
3,J,F,5.710067946280021,9.41927432061328,"{'J': 0.6756425948592412, 'F': 0.3243574051407589}","{'J': 0.48836069590786574, 'F': 0.5116393040921343}",7.0,6.0,6.0,7.0,8.0,9.0,5.0,4.0,6.0,7.0,8.0,5.0
4,J,J,7.986403615084367,12.146896019953719,"{'J': 0.6790697674418604, 'F': 0.3209302325581395}","{'J': 0.5888125613346418, 'F': 0.4111874386653582}",6.8,6.4,6.0,7.0,8.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
5,J,J,10.078973152678442,15.021562014964008,"{'J': 0.6992904330804991, 'F': 0.30070956691950085}","{'J': 0.5428711415972562, 'F': 0.45712885840274375}",6.8,6.4,6.0,7.0,8.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
6,J,J,12.192047916106231,17.85004081661884,"{'J': 0.6859099804305284, 'F': 0.31409001956947163}","{'J': 0.5428291727851199, 'F': 0.45717082721488006}",7.2,6.0,6.0,7.0,8.0,9.0,6.0,4.0,6.0,7.0,8.0,5.0
7,J,J,14.336128912151498,20.65407940895362,"{'J': 0.6826523122094446, 'F': 0.31734768779055544}","{'J': 0.5506607929515418, 'F': 0.44933920704845814}",7.0,6.4,6.0,7.0,8.0,9.0,5.0,6.0,7.0,6.0,8.0,5.0
8,J,J,16.464800118773326,23.49239602719338,"{'J': 0.6925898752751284, 'F': 0.3074101247248716}","{'J': 0.5506607929515418, 'F': 0.44933920704845814}",7.2,6.4,6.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
9,J,J,18.673593832787002,26.324247042497415,"{'J': 0.7058247674987763, 'F': 0.2941752325012237}","{'J': 0.5812133072407045, 'F': 0.4187866927592955}",6.8,6.4,6.0,7.0,8.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
10,J,J,20.82704096564089,29.193372398995052,"{'J': 0.7091087169441724, 'F': 0.2908912830558276}","{'J': 0.5659730722154223, 'F': 0.43402692778457774}",7.2,6.4,6.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
