round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.1002789357298928,0.6532380988568811,"{'J': 0.8198484478122708, 'F': 0.18015155218772916}","{'J': 0.403671970624235, 'F': 0.596328029375765}",7.6,7.0,8.0,8.0,8.0,8.0,6.0,5.0,8.0,8.0,9.0,5.0
2,J,J,2.5210789683775943,1.3569429727291038,"{'J': 0.8080215211543165, 'F': 0.19197847884568353}","{'J': 0.550526058233423, 'F': 0.44947394176657696}",6.8,7.2,6.0,8.0,6.0,8.0,6.0,5.0,8.0,8.0,9.0,6.0
3,J,J,3.7527417095503157,2.173674127517937,"{'J': 0.6723716381418093, 'F': 0.3276283618581907}","{'J': 0.5350941550501345, 'F': 0.4649058449498655}",7.4,7.0,6.0,8.0,8.0,9.0,6.0,5.0,8.0,8.0,9.0,5.0
4,J,F,4.914679087241118,3.0117367498271346,"{'J': 0.6619373776908023, 'F': 0.33806262230919765}","{'J': 0.5, 'F': 0.5}",7.6,7.0,8.0,8.0,8.0,8.0,6.0,5.0,8.0,8.0,9.0,5.0
5,J,J,6.1887120068454395,3.7681571449696163,"{'J': 0.7431506849315068, 'F': 0.2568493150684932}","{'J': 0.5156555772994129, 'F': 0.4843444227005871}",8.4,7.0,8.0,9.0,8.0,9.0,8.0,5.0,8.0,8.0,9.0,5.0
6,J,J,7.425065324631571,4.545486522321874,"{'J': 0.7218008319060436, 'F': 0.27819916809395645}","{'J': 0.5077111383108935, 'F': 0.49228886168910646}",6.4,7.0,6.0,8.0,6.0,8.0,4.0,5.0,8.0,8.0,9.0,5.0
7,J,J,8.63777243012567,5.339020235788583,"{'J': 0.7057960381511372, 'F': 0.2942039618488628}","{'J': 0.5037906578625581, 'F': 0.49620934213744194}",8.4,7.0,8.0,9.0,8.0,9.0,8.0,5.0,8.0,8.0,9.0,5.0
8,J,J,9.891176368535179,6.1070884203926346,"{'J': 0.7310513447432763, 'F': 0.26894865525672373}","{'J': 0.5116165321594522, 'F': 0.4883834678405478}",8.4,7.0,8.0,9.0,8.0,9.0,8.0,5.0,8.0,8.0,9.0,5.0
9,J,F,11.102392080052622,6.88902962002136,"{'J': 0.7185511502692119, 'F': 0.28144884973078804}","{'J': 0.49608610567514677, 'F': 0.5039138943248532}",8.2,7.2,8.0,9.0,8.0,9.0,7.0,5.0,8.0,8.0,9.0,6.0
10,J,J,12.312406879398518,7.691303023914063,"{'J': 0.6960352422907489, 'F': 0.3039647577092511}","{'J': 0.5078354554358472, 'F': 0.4921645445641528}",6.8,7.0,6.0,8.0,6.0,8.0,6.0,5.0,8.0,8.0,9.0,5.0
