round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.8252643993624456,3.8809896834880724,"{'J': 0.8104607112306, 'F': 0.1895392887694}","{'J': 0.19931565440547477, 'F': 0.8006843455945253}",3.4,5.2,2.0,3.0,2.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
2,J,F,2.4430752533531086,6.663114635881799,"{'J': 0.5851272015655578, 'F': 0.41487279843444225}","{'J': 0.3522643818849449, 'F': 0.6477356181150551}",3.4,3.8,2.0,3.0,2.0,8.0,2.0,2.0,4.0,3.0,8.0,2.0
3,J,F,4.098546184541234,9.287705405316181,"{'J': 0.5389133627019089, 'F': 0.461086637298091}","{'J': 0.34508939505265734, 'F': 0.6549106049473427}",3.2,5.2,2.0,3.0,2.0,8.0,1.0,4.0,5.0,6.0,8.0,3.0
4,J,F,5.881699683251691,11.958786333260083,"{'J': 0.573525813555175, 'F': 0.42647418644482504}","{'J': 0.3959403277084862, 'F': 0.6040596722915138}",3.6,5.2,2.0,4.0,2.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
5,J,F,7.659191581088265,14.563951299090954,"{'J': 0.550526058233423, 'F': 0.44947394176657696}","{'J': 0.3849914446345637, 'F': 0.6150085553654363}",3.0,5.2,2.0,3.0,2.0,6.0,2.0,4.0,5.0,6.0,8.0,3.0
6,J,F,9.428104351005825,17.21933362149441,"{'J': 0.5660469667318982, 'F': 0.43395303326810175}","{'J': 0.38875305623471884, 'F': 0.6112469437652812}",2.4,4.2,2.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,8.0,2.0
7,F,F,11.127423053377566,19.66946506873849,"{'J': 0.4883834678405478, 'F': 0.5116165321594522}","{'J': 0.33822091886608013, 'F': 0.6617790811339198}",2.8,3.8,2.0,3.0,2.0,6.0,1.0,2.0,4.0,3.0,8.0,2.0
8,J,F,12.823692299211741,22.322979198025134,"{'J': 0.554440910203083, 'F': 0.44555908979691705}","{'J': 0.3629919335125886, 'F': 0.6370080664874114}",2.8,2.6,2.0,3.0,2.0,6.0,1.0,2.0,3.0,2.0,4.0,2.0
9,J,F,14.474704352069365,25.124031761677273,"{'J': 0.5965770171149144, 'F': 0.4034229828850856}","{'J': 0.36656891495601174, 'F': 0.6334310850439883}",3.0,3.4,2.0,3.0,2.0,6.0,2.0,2.0,3.0,2.0,8.0,2.0
10,J,F,16.079889181137613,27.7474566109598,"{'J': 0.5312805474095796, 'F': 0.4687194525904203}","{'J': 0.32763254336672365, 'F': 0.6723674566332764}",2.8,2.6,2.0,3.0,2.0,6.0,1.0,2.0,3.0,2.0,4.0,2.0
